subj_name,rt,zrt,CT,SC,BL,BF,subj_id,movie_id,lrt
1,728,0.037346844258494,Congruent,Surprise,1,1,1,9_effect.mov,-3.28750686204399
1,1178,1.77096113198268,Congruent,Surprise,1,1,1,3_effect.mov,0.571522411627438
1,1062,1.32407389336934,Congruent,Surprise,1,1,1,8_effect.mov,0.280713266659372
1,795,0.295462749319651,Congruent,Surprise,1,1,1,7_effect.mov,-1.21921250991417
1,444,-1.05675639510522,Congruent,No Surprise,1,1,1,2_noeffect.mov,
1,961,0.934973797680129,Congruent,Surprise,1,1,1,8_effect.mov,-0.0672367739576461
1,1165,1.72087894144843,Congruent,Surprise,1,1,1,2_effect.mov,0.542835172772969
1,1414,2.68014551398914,Congruent,No Surprise,1,1,1,6_noeffect.mov,0.985871089313382
1,932,0.823251988026792,Incongruent,Surprise,1,1,1,1_effect.mov,-0.194492942876721
1,800,0.314725130294364,Incongruent,No Surprise,1,1,1,9_noeffect.mov,-1.15605562333557
1,883,0.634480654474603,Incongruent,Surprise,1,1,1,7_effect.mov,-0.454948481694235
1,1095,1.45120560780244,Incongruent,No Surprise,1,1,1,2_noeffect.mov,0.372394664623228
1,567,-0.582901823127271,Incongruent,No Surprise,1,1,1,9_noeffect.mov,
1,796,0.299315225514593,Congruent,Surprise,1,1,1,3_effect.mov,-1.2062579950044
1,796,0.299315225514593,Congruent,No Surprise,1,1,1,9_noeffect.mov,-1.2062579950044
1,1083,1.40497589346313,Incongruent,No Surprise,1,1,1,5_noeffect.mov,0.340020144961027
1,1011,1.12759760742726,Congruent,Surprise,1,1,1,5_effect.mov,0.120089358428025
1,831,0.434151892337586,Incongruent,No Surprise,1,1,1,6_noeffect.mov,-0.8343608237666
1,530,-0.725443442340148,Congruent,Surprise,1,1,1,6_effect.mov,
1,679,-0.151424489293695,Congruent,Surprise,1,1,1,6_effect.mov,
1,1316,2.30260284688477,Congruent,No Surprise,1,1,1,7_noeffect.mov,0.834040155635003
1,997,1.07366294069806,Congruent,No Surprise,1,1,1,6_noeffect.mov,0.0710761113533507
1,1382,2.55686627575098,Incongruent,No Surprise,1,1,1,6_noeffect.mov,0.938782397620801
1,1095,1.45120560780244,Incongruent,Surprise,1,1,1,1_noeffect.mov,0.372394664623228
1,582,-0.525114680203131,Incongruent,Surprise,1,1,1,4_effect.mov,
1,733,0.0566092252332072,Incongruent,Surprise,1,1,1,8_effect.mov,-2.87158331706843
1,716,-0.00888287008081769,Incongruent,No Surprise,1,1,1,3_noeffect.mov,
1,996,1.06981046450312,Incongruent,Surprise,1,1,1,2_effect.mov,0.0674814968049931
1,682,-0.139867060708867,Incongruent,No Surprise,1,1,1,8_noeffect.mov,
1,662,-0.21691658460772,Incongruent,No Surprise,1,1,1,7_noeffect.mov,
1,697,-0.0820799177847278,Congruent,Surprise,1,1,1,4_effect.mov,
1,1477,2.92285151427053,Incongruent,Surprise,1,1,1,3_effect.mov,1.07255968575242
1,484,-0.90265734730751,Incongruent,No Surprise,1,1,1,5_noeffect.mov,
1,547,-0.659951347026124,Incongruent,No Surprise,1,1,1,8_noeffect.mov,
1,513,-0.790935537654173,Incongruent,No Surprise,1,1,1,4_noeffect.mov,
1,945,0.873334178561047,Congruent,No Surprise,1,1,1,4_noeffect.mov,-0.13543700307758
1,512,-0.794788013849116,Congruent,No Surprise,1,1,1,3_noeffect.mov,
1,666,-0.20150667982795,Incongruent,Surprise,1,1,1,8_effect.mov,
1,616,-0.394130489575082,Incongruent,Surprise,1,1,1,6_effect.mov,
1,1162,1.7093215128636,Congruent,Surprise,1,1,1,7_effect.mov,0.536096515674944
1,497,-0.852575156773256,Congruent,Surprise,1,1,1,9_effect.mov,
1,878,0.61521827349989,Congruent,No Surprise,1,1,1,9_noeffect.mov,-0.485778157883513
1,797,0.303167701709536,Incongruent,Surprise,1,1,1,2_effect.mov,-1.19346915559278
1,812,0.360954844633676,Incongruent,Surprise,1,1,1,1_effect.mov,-1.01900241259017
1,813,0.364807320828618,Congruent,No Surprise,1,1,1,8_noeffect.mov,-1.00838595292242
1,616,-0.394130489575082,Congruent,Surprise,1,1,1,1_effect.mov,
1,516,-0.779378109069346,Incongruent,Surprise,1,1,1,5_effect.mov,
1,745,0.102838939572519,Incongruent,No Surprise,1,1,1,7_noeffect.mov,-2.27459120806781
1,799,0.310872654099421,Congruent,No Surprise,1,1,1,8_noeffect.mov,-1.16837192300872
1,438,-1.07987125227487,Congruent,No Surprise,1,1,1,4_noeffect.mov,
1,530,-0.725443442340148,Incongruent,Surprise,1,1,1,9_effect.mov,
1,929,0.811694559441964,Incongruent,Surprise,1,1,1,3_effect.mov,-0.208631167908452
1,596,-0.471180013473934,Incongruent,Surprise,1,1,1,1_noeffect.mov,
1,599,-0.459622584889107,Congruent,Surprise,1,1,1,2_effect.mov,
1,562,-0.602164204101984,Congruent,Surprise,1,1,1,1_effect.mov,
1,1026,1.1853847503514,Congruent,Surprise,1,1,1,9_effect.mov,0.170067405729547
1,661,-0.220769060802663,Incongruent,Surprise,1,1,1,8_effect.mov,
1,645,-0.282408679921745,Incongruent,Surprise,1,1,1,9_effect.mov,
1,695,-0.0897848701746131,Incongruent,No Surprise,1,1,1,6_noeffect.mov,
1,663,-0.213064108412778,Incongruent,Surprise,1,1,1,1_noeffect.mov,
1,548,-0.656098870831181,Congruent,Surprise,1,1,1,1_effect.mov,
1,646,-0.278556203726802,Incongruent,Surprise,1,1,1,3_effect.mov,
1,878,0.61521827349989,Congruent,Surprise,1,1,1,2_effect.mov,-0.485778157883513
1,567,-0.582901823127271,Incongruent,Surprise,2,2,1,6_effect.mov,
1,931,0.81939951183185,Congruent,No Surprise,2,2,1,9_noeffect.mov,-0.199183509632481
1,779,0.233823130200569,Congruent,Surprise,2,2,1,5_effect.mov,-1.4531903032697
1,825,0.41103703516793,Incongruent,Surprise,2,2,1,7_effect.mov,-0.889071958647916
1,630,-0.340195822845885,Congruent,Surprise,2,2,1,5_effect.mov,
1,629,-0.344048299040827,Incongruent,No Surprise,2,2,1,4_noeffect.mov,
1,424,-1.13380591900407,Congruent,No Surprise,2,2,1,4_noeffect.mov,
1,712,-0.0242927748605883,Congruent,No Surprise,2,2,1,3_noeffect.mov,
1,644,-0.286261156116688,Congruent,No Surprise,2,2,1,3_noeffect.mov,
1,650,-0.263146298947032,Incongruent,Surprise,2,2,1,6_effect.mov,
1,616,-0.394130489575082,Incongruent,No Surprise,2,2,1,9_noeffect.mov,
1,746,0.106691415767461,Incongruent,Surprise,2,2,1,5_effect.mov,-2.23781457594965
1,565,-0.590606775517156,Congruent,Surprise,2,2,1,1_noeffect.mov,
1,612,-0.409540394354852,Incongruent,Surprise,2,2,1,5_effect.mov,
1,546,-0.663803823221066,Incongruent,No Surprise,2,2,1,7_noeffect.mov,
1,861,0.549726178185865,Incongruent,Surprise,2,2,1,1_effect.mov,-0.598334982571868
1,881,0.626775702084718,Congruent,Surprise,2,2,1,7_effect.mov,-0.467166534272845
1,548,-0.656098870831181,Congruent,Surprise,2,2,1,4_effect.mov,
1,549,-0.652246394636238,Incongruent,Surprise,2,2,1,1_noeffect.mov,
1,862,0.553578654380808,Congruent,No Surprise,2,2,1,8_noeffect.mov,-0.591351433260186
1,682,-0.139867060708867,Incongruent,No Surprise,2,2,1,2_noeffect.mov,
1,513,-0.790935537654173,Congruent,No Surprise,2,2,1,2_noeffect.mov,
1,532,-0.717738489950263,Congruent,No Surprise,2,2,1,8_noeffect.mov,
1,745,0.102838939572519,Congruent,Surprise,2,2,1,1_effect.mov,-2.27459120806781
1,547,-0.659951347026124,Congruent,Surprise,2,2,1,1_noeffect.mov,
1,545,-0.667656299416009,Incongruent,No Surprise,2,2,1,5_noeffect.mov,
1,712,-0.0242927748605883,Incongruent,No Surprise,2,2,1,3_noeffect.mov,
1,616,-0.394130489575082,Incongruent,No Surprise,2,2,1,9_noeffect.mov,
1,615,-0.397982965770024,Incongruent,No Surprise,2,2,1,8_noeffect.mov,
1,546,-0.663803823221066,Congruent,No Surprise,2,2,1,6_noeffect.mov,
1,661,-0.220769060802663,Congruent,Surprise,2,2,1,6_effect.mov,
1,616,-0.394130489575082,Incongruent,Surprise,2,2,1,3_effect.mov,
1,493,-0.867985061553026,Congruent,Surprise,2,2,1,6_effect.mov,
1,545,-0.667656299416009,Incongruent,Surprise,2,2,1,4_effect.mov,
1,700,-0.0705224891998999,Incongruent,Surprise,2,2,1,2_effect.mov,
1,547,-0.659951347026124,Congruent,No Surprise,2,2,1,7_noeffect.mov,
1,599,-0.459622584889107,Incongruent,No Surprise,2,2,1,3_noeffect.mov,
1,645,-0.282408679921745,Incongruent,Surprise,2,2,1,2_effect.mov,
1,1001,1.08907284547783,Incongruent,No Surprise,2,2,1,5_noeffect.mov,0.0853267337961404
1,421,-1.1453633475889,Congruent,No Surprise,2,2,1,5_noeffect.mov,
1,914,0.753907416517825,Congruent,No Surprise,2,2,1,4_noeffect.mov,-0.282485708277619
1,533,-0.713886013755321,Incongruent,No Surprise,2,2,1,6_noeffect.mov,
1,769,0.195298368251142,Incongruent,Surprise,2,2,1,4_effect.mov,-1.63322679622329
1,544,-0.671508775610952,Incongruent,Surprise,2,2,1,7_effect.mov,
1,629,-0.344048299040827,Incongruent,No Surprise,2,2,1,2_noeffect.mov,
1,649,-0.266998775141975,Incongruent,Surprise,2,2,1,8_effect.mov,
1,645,-0.282408679921745,Incongruent,No Surprise,2,2,1,4_noeffect.mov,
1,436,-1.08757620466476,Congruent,Surprise,2,2,1,8_effect.mov,
1,500,-0.841017728188428,Congruent,Surprise,2,2,1,9_effect.mov,
1,467,-0.968149442621535,Congruent,Surprise,2,2,1,3_effect.mov,
1,711,-0.0281452510555309,Congruent,Surprise,2,2,1,3_effect.mov,
1,548,-0.656098870831181,Congruent,No Surprise,2,2,1,2_noeffect.mov,
1,446,-1.04905144271533,Congruent,Surprise,2,2,1,4_effect.mov,
1,813,0.364807320828618,Congruent,Surprise,2,2,1,7_effect.mov,-1.00838595292242
1,795,0.295462749319651,Congruent,No Surprise,2,2,1,5_noeffect.mov,-1.21921250991417
1,599,-0.459622584889107,Congruent,Surprise,2,2,1,2_effect.mov,
1,459,-0.998969252181076,Congruent,Surprise,2,2,1,8_effect.mov,
1,418,-1.15692077617372,Incongruent,Surprise,2,2,1,1_effect.mov,
1,661,-0.220769060802663,Incongruent,No Surprise,2,2,1,8_noeffect.mov,
1,628,-0.34790077523577,Congruent,No Surprise,2,2,1,9_noeffect.mov,
1,582,-0.525114680203131,Incongruent,No Surprise,2,2,1,7_noeffect.mov,
1,512,-0.794788013849116,Incongruent,Surprise,2,2,1,9_effect.mov,
1,929,0.811694559441964,Congruent,Surprise,2,2,1,2_effect.mov,-0.208631167908452
1,493,-0.867985061553026,Congruent,No Surprise,2,2,1,8_noeffect.mov,
1,599,-0.459622584889107,Incongruent,No Surprise,2,2,1,8_noeffect.mov,
1,684,-0.132162108318982,Incongruent,Surprise,2,2,1,4_effect.mov,
1,711,-0.0281452510555309,Congruent,Surprise,2,2,1,9_effect.mov,
1,614,-0.401835441964967,Incongruent,Surprise,2,2,1,1_noeffect.mov,
1,683,-0.136014584513925,Congruent,Surprise,2,2,1,2_effect.mov,
