"code","sex","age","BISImAt","BISImpMOT","BISImpNP","BISTOT","NFC","likemagic","surpmagic","predmagic","explA","explB","confmagic","easymagic","howmagic","newmagic","crt1","crt2","crt3","crt4","crt5","crt6","crt7","norm1","norm2","norm3","norm4","norm5","norm6","norm7","normtot","totscien","span_for","span_back","num_ab"
"69DG14",2,20,NA,NA,NA,NA,NA,4,4,1,3,3,4,4,4,4,24,10,100,12,30,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","",NA,NA,NA
"71LB11",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,100,9,29,20,NA,"1,00","1,00","0,00","0,00","1,00","1,00","0,00","4,00","0,00",NA,NA,NA
"27TG15",2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,100,NA,29,20,NA,"1,00","1,00","0,00","0,00","1,00","1,00","0,00","4,00","0,00",NA,NA,NA
"41AE24",2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,100,9,29,20,3,"1,00","1,00","0,00","0,00","1,00","1,00","1,00","5,00","0,00",NA,NA,NA
"14RC22",2,19,16,22,27,65,67,5,5,3,2,2,2,4,5,5,47,5,5,12,30,0,3,"1,00","1,00","1,00","0,00","0,00","0,00","1,00","4,00","",NA,NA,NA
"35IG25",2,19,NA,NA,NA,NA,NA,4,4,2,3,3,1,1,4,3,23,5,5,12,15,20,2,"0,00","1,00","1,00","0,00","0,00","1,00","0,00","3,00","0,00",NA,NA,NA
"95FD14",2,19,NA,NA,NA,NA,NA,4,4,1,2,1,2,3,5,4,1,10,5,4,30,20,3,"0,00","0,00","1,00","1,00","0,00","1,00","1,00","4,00","0,00",NA,NA,NA
"02LB31",2,19,NA,NA,NA,NA,NA,4,4,2,3,3,NA,3,4,3,NA,NA,100,NA,NA,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"36MB12",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,2,4,4,4,NA,10,100,5,15,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"59VG25",2,19,16,18,24,58,64,5,4,2,2,2,3,4,3,4,3,20,100,12,30,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"30GF25",1,21,NA,NA,NA,NA,NA,4,1,1,2,2,5,4,2,5,47,5,100,9,30,20,3,"1,00","1,00","0,00","0,00","0,00","1,00","1,00","4,00","",NA,NA,NA
"64AC09",2,18,NA,NA,NA,NA,NA,4,2,3,3,3,NA,NA,3,2,47,NA,100,NA,15,NA,2,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"00CC13",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,1,4,4,4,24,10,100,2,30,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"65EC03",2,19,NA,NA,NA,NA,NA,5,5,2,2,2,3,3,5,5,NA,5,5,9,29,20,2,"0,00","1,00","1,00","0,00","1,00","1,00","0,00","4,00","",NA,NA,NA
"95AE06",1,20,NA,NA,NA,NA,NA,5,5,3,2,2,3,4,5,5,47,10,100,12,30,20,2,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","0,00",NA,NA,NA
"34FF26",2,19,16,19,25,60,44,4,5,5,2,2,2,3,5,NA,47,10,100,NA,30,10,2,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,3
"21SG02",2,19,NA,NA,NA,NA,NA,3,4,3,2,2,3,4,3,3,24,10,5,12,30,10,2,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"35NF13",2,19,14,16,25,55,58,5,4,1,2,2,2,3,4,4,24,5,100,9,15,0,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,6
"29FF05",2,19,NA,NA,NA,NA,NA,3,3,3,2,2,1,3,5,5,12,10,100,6,15,30,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"73GG07",2,19,NA,NA,NA,NA,NA,3,4,3,3,3,1,1,5,3,24,10,100,12,15,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"31AA19",2,19,22,25,32,79,49,4,3,1,2,2,3,4,4,4,47,10,100,4,15,20,3,"1,00","0,00","0,00","1,00","0,00","1,00","1,00","4,00","0,00",NA,NA,NA
"19CL12",2,18,NA,NA,NA,NA,NA,4,4,3,2,2,2,4,4,4,NA,10,100,12,15,100,NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","",NA,NA,NA
"83GG02",2,19,NA,NA,NA,NA,NA,4,2,4,3,3,1,3,5,5,47,10,100,12,15,10,2,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,NA
"48LG13",1,19,12,17,16,45,79,3,2,5,2,2,3,4,5,4,47,5,5,4,1,20,1,"1,00","1,00","1,00","1,00","0,00","1,00","0,00","5,00","0,00",NA,NA,NA
"87LB30",2,20,NA,NA,NA,NA,NA,4,4,3,3,3,1,2,4,2,24,5,100,3,15,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"84AF15",1,27,14,17,16,47,82,5,5,2,3,3,1,2,5,5,47,10,100,3,15,10,1,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,6
"61JA14",1,19,NA,NA,NA,NA,NA,4,4,2,2,1,2,4,4,4,47,5,5,6,15,20,2,"1,00","1,00","1,00","0,00","0,00","1,00","0,00","4,00","0,00",NA,NA,NA
"79PC30",1,19,NA,NA,NA,NA,NA,4,5,3,2,2,3,4,5,5,47,5,5,12,30,0,3,"1,00","1,00","1,00","0,00","0,00","0,00","1,00","4,00","0,00",NA,NA,NA
"13VB09",2,20,19,31,33,83,71,4,4,1,2,2,3,3,4,4,24,10,100,9,15,20,1,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","",NA,NA,NA
