"code","sex","age","BISImAt","BISImpMOT","BISImpNP","BISTOT","NFC","likemagic","surpmagic","predmagic","explA","explB","confmagic","easymagic","howmagic","newmagic","crt1","crt2","crt3","crt4","crt5","crt6","crt7","norm1","norm2","norm3","norm4","norm5","norm6","norm7","normtot","totscien","span_for","span_back","num_ab"
"34DE05",2,18,NA,NA,NA,NA,NA,4,5,2,2,2,4,4,5,5,24,10,100,12,15,0,3,"0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","0,00",NA,NA,NA
"46BB12",2,19,20,25,27,72,43,2,2,1,2,2,3,4,5,4,24,5,5,NA,30,10,2,"0,00","1,00","1,00","0,00","0,00","0,00","0,00","2,00","0,00",NA,NA,NA
"35PC31",1,19,23,25,22,70,68,4,4,4,2,1,4,4,5,5,24,10,100,4,30,20,3,"0,00","0,00","0,00","1,00","0,00","1,00","1,00","3,00","0,00",NA,NA,4
"77CF24",2,19,NA,NA,NA,NA,NA,5,5,2,2,2,3,4,5,5,24,10,100,12,NA,0,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00",NA,NA,NA
"10CD22",2,19,NA,NA,NA,NA,NA,5,5,3,3,3,2,2,5,5,24,10,100,9,30,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"53GA02",2,19,NA,NA,NA,NA,NA,4,4,2,2,2,2,4,3,3,2,NA,NA,NA,NA,NA,NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"23AD24",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,3,2,5,4,24,10,100,4,NA,0,2,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"52SD09",1,18,20,24,26,70,68,5,5,3,1,1,2,4,5,5,47,5,5,12,30,20,3,"1,00","1,00","1,00","0,00","0,00","1,00","1,00","5,00","0,00",NA,NA,6
"80EB23",2,18,NA,NA,NA,NA,NA,4,4,2,2,2,2,3,4,4,47,5,5,12,30,20,2,"1,00","1,00","1,00","0,00","0,00","1,00","0,00","4,00","0,00",NA,NA,NA
"30AF30",2,19,17,18,29,64,66,4,4,1,2,2,4,3,4,4,24,5,100,3,30,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","",NA,NA,NA
