subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
11,4,0.145,0.06,0.137,0.1,0.347,1.313,0.313
12,1,0.165,0.091,0.007,0.141,0.338,1.36,0.213
12,2,0.161,0.106,0.153,0.151,0.368,1.276,0.189
12,3,0.144,0.098,0.024,0.177,0.374,1.346,0.2
12,4,0.143,0.08,0.104,0.126,0.403,1.31,0.235
13,1,0.096,0.093,0.015,0.125,0.314,1.346,0.258
13,2,0.118,0.098,0.003,0.065,0.374,1.435,0.22
13,3,0.116,0.078,0.023,0.235,0.374,1.281,0.267
13,4,0.128,0.061,0.018,0.247,0.362,1.145,0.288
14,1,0.082,0.085,0.082,0.101,0.371,1.368,0.266
14,2,0.102,0.077,0.039,0.197,0.424,1.293,0.268
14,3,0.09,0.095,0.016,0.14,0.417,1.438,0.234
14,4,0.121,0.106,0.154,0.227,0.498,1.293,0.216
15,1,0.155,0.155,0.046,0.062,0.218,1.561,0.031
15,2,0.12,0.245,0.105,0.061,0.317,1.296,0.077
15,3,0.1,0.148,0.106,0.083,0.282,1.405,0.204
15,4,0.123,0.122,0.09,0.107,0.28,1.297,0.144
16,1,0.307,0.095,0.072,0.027,0.3,1.276,0.171
16,2,0.175,0.105,0.092,0.091,0.298,1.373,0.234
16,3,0.172,0.078,0.12,0.085,0.323,1.301,0.295
16,4,0.172,0.109,0.127,0.225,0.353,1.295,0.177
17,1,0.072,0.098,0.1,0.065,0.34,1.281,0.433
17,2,0.222,0.097,0.11,0.075,0.334,1.274,0.25
17,3,0.254,0.108,0.008,0.192,0.399,1.192,0.176
17,4,0.095,0.092,0.1,0.127,0.382,1.279,0.36
18,1,0.074,0.086,0.084,0.167,0.425,1.332,0.233
18,2,0.087,0.089,0.064,0.181,0.437,1.323,0.22
18,3,0.076,0.083,0.121,0.21,0.438,1.262,0.251
18,4,0.096,0.089,0.037,0.167,0.409,1.343,0.211
19,1,0.091,0.098,0.008,0.147,0.302,1.385,0.244
19,2,0.091,0.091,0.015,0.09,0.425,1.386,0.266
