subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
1,1,0.092,0.11,0.029,0.003,0.276,1.462,0.239
1,2,0.086,0.127,0.011,0.067,0.395,1.404,0.227
1,3,0.067,0.077,0.047,0.04,0.355,1.409,0.308
1,4,0.051,0.076,0.108,0.028,0.279,1.368,0.33
2,1,0.091,0.271,0.056,0.011,0.458,1.299,0.24
2,2,0.229,0.09,0.128,0.07,0.333,1.287,0.217
2,3,0.176,0.099,0.15,0.081,0.34,1.283,0.203
2,4,0.112,0.076,0.009,0.112,0.294,1.8,0.299
3,1,0.246,0.073,0.091,0.06,0.364,1.272,0.308
3,2,0.255,0.086,0.041,0.034,0.46,1.272,0.257
3,3,0.291,0.059,0.129,0.005,0.422,1.279,0.23
3,4,0.164,0.084,0.126,0.064,0.344,1.288,0.249
4,1,0.195,0.068,0.133,0.071,0.35,1.294,0.288
4,2,0.108,0.085,0.021,0.002,0.356,1.562,0.275
4,3,0.129,0.077,0.063,0.006,0.366,1.373,0.269
4,4,0.147,0.083,0.128,0.085,0.44,1.279,0.234
5,1,0.383,0.076,0.048,0.006,0.3,1.371,0.186
5,2,0.276,0.099,0.12,0.014,0.341,1.331,0.196
5,3,0.483,0.093,0.151,0,0.317,1.335,0.068
5,4,0.125,0.089,0.058,0,0.328,1.388,0.262
6,1,0.095,0.091,0.014,0.089,0.326,1.434,0.265
6,2,0.164,0.073,0.007,0.391,0.433,1.062,0.258
6,3,0.102,0.067,0.02,0.029,0.332,1.404,0.292
6,4,0.182,0.095,0.308,0.201,0.508,1.03,0.248
7,1,0.292,0.239,0.263,0.05,0.387,1.189,0.314
7,2,0.327,0.159,0.035,0.045,0.414,1.128,0.296
7,3,0.306,0.068,0.128,0.149,0.253,1.135,0.44
7,4,0.339,0.128,0.124,0.041,0.38,1.065,0.314
8,1,0.122,0.103,0.02,0.185,0.399,1.287,0.216
8,2,0.095,0.075,0.073,0.237,0.404,1.238,0.293
8,3,0.102,0.073,0.06,0.188,0.431,1.16,0.281
8,4,0.129,0.058,0.012,0.321,0.358,1.309,0.294
9,1,0.331,0.179,0.097,0.044,0.389,1.051,0.404
9,2,0.368,0.123,0.098,0.108,0.443,1.156,0.547
9,3,0.352,0.154,0.078,0.006,0.391,1.117,0.428
9,4,0.505,0.102,0.132,0.086,0.361,1.185,0.347
10,1,0.214,0.108,0.105,0.074,0.329,1.282,0.279
10,2,0.226,0.093,0.088,0.067,0.341,1.277,0.295
10,3,0.29,0.07,0.087,0.053,0.359,1.283,0.234
10,4,0.125,0.078,0.009,0.002,0.359,1.365,0.301
11,1,0.112,0.123,0.067,0.055,0.31,1.393,0.369
11,2,0.202,0.125,0.106,0.085,0.361,1.261,0.229
11,3,0.231,0.092,0.105,0.077,0.331,1.285,0.26
11,4,0.244,0.083,0.099,0.068,0.328,1.308,0.245
12,1,0.114,0.129,0.103,0.12,0.298,1.325,0.265
12,2,0.19,0.114,0.079,0.322,0.412,1.027,0.108
12,3,0.126,0.105,0.007,0.232,0.424,1.112,0.227
12,4,0.077,0.096,0.022,0.091,0.305,1.325,0.26
13,1,0.297,0.072,0.11,0.068,0.307,1.291,0.24
13,2,0.18,0.084,0.118,0.005,0.297,1.387,0.253
13,3,0.103,0.091,0.129,0.002,0.293,1.45,0.287
13,4,0.148,0.093,0.015,0.005,0.336,1.454,0.201
14,1,0.139,0.114,0.117,0.097,0.294,1.331,0.243
14,2,0.145,0.103,0.107,0.178,0.318,1.233,0.246
14,3,0.176,0.085,0.089,0.103,0.386,1.303,0.246
14,4,0.094,0.071,0.04,0.062,0.352,1.361,0.323
15,1,0.181,0.094,0.123,0.102,0.312,1.311,0.236
15,2,0.097,0.09,0.14,0.103,0.341,1.243,0.31
15,3,0.161,0.073,0.129,0.068,0.37,1.273,0.296
15,4,0.143,0.066,0.117,0.096,0.327,1.326,0.309
16,1,0.133,0.111,0.043,0.078,0.304,1.464,0.225
16,2,0.155,0.098,0.02,0.093,0.329,1.431,0.204
16,3,0.229,0.135,0.256,0.08,0.347,1.327,0.1
16,4,0.173,0.098,0.048,0.171,0.34,1.32,0.176
17,1,0.246,0.122,0.104,0.077,0.317,1.328,0.212
17,2,0.245,0.067,0.122,0.066,0.338,1.285,0.262
17,3,0.211,0.094,0.194,0.004,0.374,1.287,0.24
17,4,0.182,0.105,0.009,0.18,0.406,1.474,0.188
18,1,0.243,0.137,0.169,0.075,0.322,1.126,0.328
18,2,0.242,0.233,0.1,0.089,0.498,1.148,0.13
18,3,0.194,0.098,0.077,0.068,0.351,1.308,0.328
18,4,0.203,0.101,0.115,0.082,0.321,1.293,0.28
19,1,0.131,0.177,0.034,0.02,0.464,1.232,0.33
19,2,0.185,0.094,0.103,0.078,0.303,1.326,0.281
19,3,0.293,0.063,0.106,0.073,0.336,1.278,0.255
19,4,0.28,0.081,0.05,0.164,0.39,1.289,0.207
20,1,0.224,0.128,0.121,0.093,0.293,1.34,0.177
20,2,0.375,0.092,0.166,0.008,0.241,1.393,0.129
20,3,0.406,0.115,0.114,0.002,0.299,1.331,0.063
20,4,0.164,0.1,0.035,0.028,0.304,1.415,0.198
21,1,0.215,0.15,0.006,0.001,0.342,1.191,0.334
21,2,0.163,0.205,0.026,0.001,0.426,1.413,0.281
21,3,0.227,0.126,0.043,0.002,0.363,1.356,0.342
21,4,0.165,0.173,0.024,0.001,0.393,1.477,0.285
22,1,0.251,0.202,0.112,0.099,0.356,1.35,0.012
22,2,0.19,0.094,0.178,0.023,0.385,1.233,0.219
22,3,0.13,0.08,0.003,0.177,0.342,1.349,0.246
22,4,0.196,0.069,0.09,0.074,0.458,1.194,0.365
23,1,0.164,0.189,0.058,0.003,0.338,1.299,0.282
23,2,0.15,0.194,0.037,0.013,0.389,1.261,0.22
23,3,0.133,0.095,0.004,0.042,0.199,1.71,0.304
23,4,0.137,0.22,0.03,0,0.374,1.265,0.125
24,1,0.136,0.265,0.064,0.001,0.376,1.467,0.191
24,2,0.197,0.205,0.026,0.001,0.38,1.615,0.205
24,3,0.216,0.121,0.091,0.068,0.265,1.331,0.238
24,4,0.367,0.173,0.157,0.027,0.327,1.273,0.008
25,1,0.184,0.083,0.115,0.094,0.324,1.334,0.24
25,2,0.163,0.081,0.109,0.05,0.361,1.325,0.26
25,3,0.078,0.068,0.095,0.017,0.316,1.388,0.302
25,4,0.108,0.098,0.001,0.067,0.398,1.4,0.218
26,1,0.284,0.269,0.025,0.014,0.657,0.995,0.577
26,2,0.199,0.102,0.098,0.091,0.184,1.334,0.223
26,3,0.141,0.247,0.061,0.001,0.3,1.324,0.197
26,4,0.22,0.105,0.107,0.085,0.237,1.358,0.251
27,1,0.351,0.266,0.073,0.003,0.463,1.32,0.262
27,2,0.213,0.212,0.082,0.143,0.419,1.228,0.408
27,3,0.143,0.239,0.09,0.007,0.329,1.266,0.253
27,4,0.137,0.108,0.112,0.115,0.308,1.329,0.256
28,1,0.083,0.131,0.154,0,0.3,1.374,0.442
28,2,0.202,0.086,0.091,0.06,0.348,1.267,0.343
28,3,0.363,0.13,0.056,0,0.454,1.266,0.082
28,4,0.098,0.111,0.072,0.003,0.339,1.373,0.279
29,1,0.149,0.103,0.107,0.155,0.33,1.3,0.206
29,2,0.097,0.084,0.067,0.071,0.321,1.376,0.288
29,3,0.119,0.086,0.038,0.058,0.347,1.42,0.237
29,4,0.112,0.086,0.025,0.096,0.413,1.277,0.235
30,1,0.092,0.081,0.004,0.207,0.353,0.83,0.287
30,2,0.102,0.085,0.052,0.156,0.357,1.311,0.25
30,3,0.103,0.085,0.092,0.29,0.339,1.302,0.247
30,4,0.089,0.068,0.026,0.176,0.368,1.348,0.298
31,1,0.094,0.087,0.008,0.046,0.329,1.402,0.273
31,2,0.133,0.076,0.061,0.16,0.317,1.301,0.258
31,3,0.109,0.083,0.092,0.21,0.411,1.242,0.253
31,4,0.11,0.116,0.073,0.22,0.388,1.326,0.165
32,1,0.099,0.141,0.09,0.08,0.324,1.293,0.167
32,2,0.105,0.108,0.075,0.129,0.297,1.37,0.169
32,3,0.09,0.12,0.169,0.184,0.469,1.237,0.252
32,4,0.148,0.105,0.163,0.206,0.334,1.322,0.153
33,1,0.1,0.084,0.101,0.064,0.346,1.31,0.41
33,2,0.269,0.072,0.111,0.074,0.356,1.283,0.242
33,3,0.097,0.092,0.007,0.002,0.345,1.227,0.267
33,4,0.21,0.058,0.117,0.07,0.317,1.311,0.28
34,1,0.259,0.114,0.12,0.075,0.277,1.371,0.191
34,2,0.109,0.113,0.087,0.008,0.302,1.38,0.34
34,3,0.126,0.156,0.076,0.024,0.321,1.395,0.197
34,4,0.209,0.127,0.1,0.037,0.344,1.415,0.172
35,1,0.255,0.108,0.114,0.063,0.297,1.349,0.187
35,2,0.151,0.099,0.086,0.167,0.329,1.303,0.207
35,3,0.153,0.134,0.255,0.132,0.352,1.292,0.142
35,4,0.199,0.137,0.009,0.303,0.458,1.102,0.103
36,1,0.154,0.17,0.026,0.001,0.337,1.311,0.221
36,2,0.215,0.112,0.103,0.069,0.314,1.312,0.289
36,3,0.189,0.08,0.071,0.024,0.363,1.282,0.371
36,4,0.292,0.075,0.071,0.004,0.319,1.308,0.288
37,1,0.086,0.084,0.019,0.089,0.321,1.407,0.271
37,2,0.129,0.061,0.014,0.002,0.335,1.369,0.285
37,3,0.167,0.078,0.114,0.245,0.374,1.449,0.275
37,4,0.151,0.077,0.065,0.003,0.322,1.362,0.241
38,1,0.155,0.109,0.073,0.13,0.327,1.369,0.19
38,2,0.121,0.119,0.022,0.144,0.397,1.276,0.18
38,3,0.158,0.099,0.202,0.183,0.325,1.296,0.173
38,4,0.133,0.085,0.14,0.215,0.366,1.269,0.234
39,1,0.257,0.065,0.109,0.061,0.291,1.355,0.259
39,2,0.206,0.083,0.119,0.061,0.303,1.379,0.226
39,3,0.178,0.085,0.115,0.073,0.329,1.335,0.25
39,4,0.101,0.082,0.044,0.071,0.315,1.401,0.274
40,1,0.184,0.1,0.113,0.08,0.305,1.316,0.295
40,2,0.256,0.089,0.095,0.075,0.321,1.304,0.24
40,3,0.17,0.099,0.114,0.142,0.299,1.297,0.241
40,4,0.107,0.119,0.029,0.093,0.312,1.344,0.244
41,1,0.148,0.225,0.095,0.007,0.352,1.284,0.252
41,2,0.269,0.225,0.104,0.08,0.365,1.285,0.003
41,3,0.138,0.093,0.086,0.098,0.296,1.344,0.255
41,4,0.19,0.097,0.126,0.094,0.328,1.304,0.228
42,1,0.14,0.236,0.061,0.003,0.456,1.285,0.271
42,2,0.157,0.202,0.002,0,0.473,1.444,0.269
42,3,0.227,0.114,0.082,0.08,0.314,1.362,0.274
42,4,0.215,0.101,0.075,0.068,0.35,1.291,0.304
43,1,0.164,0.443,0.038,0.003,0.662,1.139,0.411
43,2,0.403,0.146,0.09,0.068,0.37,1.112,0.421
43,3,0.255,0.187,0.107,0.061,0.35,1.181,0.413
43,4,0.5,0.2,0.055,0.021,0.444,1.375,0.26
44,1,0.227,0.129,0.078,0,0.238,1.611,0.275
44,2,0.423,0.108,0.066,0.051,0.281,1.332,0.12
44,3,0.283,0.09,0.063,0.002,0.29,1.242,0.275
44,4,0.262,0.101,0.095,0.072,0.312,1.336,0.239
45,1,0.108,0.144,0.075,0.008,0.31,1.477,0.301
45,2,0.25,0.106,0.037,0.004,0.314,1.321,0.158
45,3,0.256,0.121,0.125,0.088,0.317,1.285,0.169
45,4,0.233,0.092,0.101,0.086,0.317,1.307,0.219
46,1,0.133,0.114,0.105,0.199,0.313,1.267,0.263
46,2,0.196,0.049,0.111,0.241,0.258,1.217,0.309
46,3,0.124,0.093,0.141,0.226,0.383,1.218,0.249
46,4,0.148,0.083,0.007,0.307,0.443,1.139,0.244
47,1,0.131,0.073,0.073,0.002,0.313,1.407,0.283
47,2,0.152,0.097,0.052,0.004,0.378,1.34,0.206
47,3,0.107,0.078,0.025,0.06,0.373,1.385,0.27
47,4,0.139,0.083,0.147,0.101,0.372,1.34,0.225
48,1,0.159,0.14,0.078,0.005,0.352,1.382,0.77
48,2,0.31,0.167,0.112,0.001,0.415,1.229,0.594
48,3,0.353,0.146,0.005,0.026,0.489,1.123,0.512
48,4,0.292,0.177,0.117,0.004,0.394,1.142,0.448
49,1,0.115,0.281,0.077,0.024,0.446,1.159,0.275
49,2,0.077,0.125,0.07,0.074,0.356,1.407,0.297
49,3,0.09,0.086,0.08,0.054,0.306,1.35,0.318
49,4,0.112,0.098,0.013,0.091,0.295,1.347,0.249
50,1,0.223,0.085,0.098,0.059,0.353,1.234,0.358
50,2,0.209,0.076,0.095,0.068,0.353,1.27,0.334
50,3,0.189,0.082,0.099,0.059,0.338,1.288,0.33
50,4,0.265,0.071,0.072,0.044,0.411,1.269,0.262
51,1,0.164,0.263,0.038,0.014,0.427,1.208,0.251
51,2,0.171,0.192,0.057,0.03,0.518,1.214,0.32
51,3,0.413,0.152,0.095,0.059,0.401,1.212,0.009
51,4,0.163,0.118,0.12,0.134,0.307,1.313,0.206
52,1,0.103,0.117,0.073,0.072,0.191,1.403,0.367
52,2,0.216,0.121,0.104,0.068,0.305,1.345,0.176
52,3,0.158,0.097,0.021,0.078,0.338,1.373,0.206
52,4,0.106,0.087,0.024,0.107,0.306,1.401,0.239
53,1,0.102,0.092,0.015,0.034,0.366,1.201,0.287
53,2,0.105,0.08,0.003,0.121,0.323,1.311,0.272
